id,title,journal,month,year
1,"Soft Pneumatic Actuators: A Review of Design, Fabrication, Modeling, Sensing, Control and Applications",IEEE Access,Jun,2022
2,The Machines from Our Future,MIT Press,May,2022
3,Decade of bio-inspired soft robots: a review,Smart Mater,Jun,2022
4,Hydrogel-based strong and fast actuators by electroosmotic turgor pressure,Science,Apr,2022
5,Neuron-Inspired Soft Robot Teams and Their Non-Contact Electric Signal Transmission Based on Electromagnetic Induction,SoRo Journal,Apr,2022
6,A Gas�Ribbon-Hybrid Actuated Soft Finger with Active Variable Stiffness,SoRo Journal,Apr,2022
7,A Novel Spider-Inspired Rotary-Rolling Diaphragm Actuator with Linear Torque Characteristic and High Mechanical Efficiency,SoRo Journal,Apr,2022
8,A Novel Jamming Structure With Interlocking Mechanism Towards Applications in Wearable Robots,IEEE RA-L,Apr,2022
9,Simple and Scalable Soft Actuation Through Coupled Inflatable Tubes,IEEE Access,Apr,2022
10,Untethered small-scale magnetic soft robot with programmable magnetization and integrated multifunctional modules,Science Advances,Jun,2022
11,Locally controllable magnetic soft actuators with reprogrammable contraction-derived motions,Science Advances,Jun,2022
12,Optimal Design of Electrode Topology of Dielectric Elastomer Actuators Based on the Parameterized Level Set Method,SoRo Journal,May,2022
13,Finite-Time Contraction Control of a Ring-Shaped Soft Pneumatic Actuator Mimicking Gastric Pathologic Motility Conditions,SoRo Journal,Jun,2022
14,Development of the Ultralight Hybrid Pneumatic Artificial Muscle: Modelling and optimization,PLoS ONE,Apr,2022
15,Effects of soft and hard magnetic particles on the mechanical performance of ultra-soft magnetorheological elastomers,"Smart Matter, Struct",May,2022
16,Design and Study of Scissor-Mechanism-Based Pneumatic Actuator With a Characteristic of Bidirectional Contraction,IEEE TMECH,May,2022
17,3D-Printed Soft Sensors for Adaptive Sensing with Online and Offline Tunable Stiffness,SoRo Journal,Apr,2022
18,Paper-Based Piezoresistive Force Encoder for Soft Robotic Applications,IEEE Sensors,Jun,2022
19,Bioinspired soft electroreceptors for artificial precontact somatosensation,Science Advances,May,2022
20,Integrated stretchable pneumatic strain gauges for electronics-free soft robots,Nature,Jun,2022
21,Intentional Blocking Based Photoelectric Soft Pressure Sensor with High Sensitivity and Stability,SoRo Journal,May,2022
22,A direct ink writing based fabric-embedded soft sensor for improved durability and sewability,"Smart Mater, Struct,",May,2022
23,hysteresis conducting polymer hydrogel strain sensors for soft machines,"Adv, Mater,",Jun,2022
24,Out-of-Plane Soft Lithography for Soft Pneumatic Microactuator Arrays,SoRo Journal,Jun,2022
25,Bioinspired Amphibious Origami Robot with Body Sensing for Multimodal Locomotion,SoRo Journal,Jun,2022
26,Corrigendum: Biologically inspired swimming robotic frog based on pneumatic soft actuators,"Bioinspir, Biomim",May,2022
27,Aerial-aquatic robots capable of crossing the air-water boundary and hitchhiking on surfaces,"Sci, Robot,",May,2022
28,SMORS: A soft multirotor UAV for multimodal locomotion and robust interaction,IEEE ICRA,Mar,2022
29,Leaf-Like Origami with Bistability for Self-Adaptive Grasping Motions,SoRo Journal,Apr,2022
